year,month,day,lng,lat
109,1,1,121.5444806,25.07977308
109,1,1,121.5444806,25.07977308
109,1,1,121.5309992,25.0462505
109,1,1,121.5309992,25.0462505
109,1,1,121.5309992,25.0462505
109,1,1,121.523484,25.0628973
109,1,1,121.523484,25.0628973
109,1,1,121.575626,24.9997669
109,1,1,121.575626,24.9997669
109,1,1,121.5206993,25.04824756
109,1,1,121.5206993,25.04824756
109,1,1,121.5255686,25.05895918
109,1,1,121.5255686,25.05895918
109,1,1,121.5285114,25.02664186
109,1,1,121.5285114,25.02664186
109,1,1,121.5285114,25.02664186
109,1,1,121.4960837,25.02136369
109,1,1,121.4960837,25.02136369
109,1,1,121.5090902,25.06782743
109,1,1,121.5090902,25.06782743
109,1,1,121.5164902,25.02178052
109,1,1,121.5164902,25.02178052
109,1,1,121.5164902,25.02178052
109,1,1,121.6071868,25.05330023
109,1,1,121.6071868,25.05330023
109,1,1,121.5331939,25.05676512
109,1,1,121.5331939,25.05676512
109,1,1,121.554087,24.9998603
109,1,1,121.554087,24.9998603
109,1,1,121.5104018,25.11156018
109,1,1,121.5104018,25.11156018
109,1,1,121.553186,25.04427912
109,1,1,121.553186,25.04427912
109,1,1,121.537527,25.02970281
109,1,1,121.537527,25.02970281
109,1,1,121.4979478,25.13573519
109,1,1,121.4979478,25.13573519
109,1,1,121.5437412,25.0443032
109,1,1,121.5437412,25.0443032
109,1,1,121.5466595,25.02459727
109,1,1,121.5466595,25.02459727
109,1,1,121.4683955,25.12813596
109,1,1,121.4683955,25.12813596
109,1,1,121.6002751,25.13229051
109,1,1,121.6002751,25.13229051
109,1,1,121.6002751,25.13229051
109,1,1,121.6002751,25.13229051
109,1,1,121.4914162,25.03203369
109,1,1,121.4914162,25.03203369
109,1,1,121.5594849,25.03308032
109,1,1,121.5594849,25.03308032
109,1,1,121.4932063,25.02047506
109,1,1,121.4932063,25.02047506
109,1,1,121.5439726,25.07725992
109,1,1,121.5439726,25.07725992
109,1,1,121.5769395,25.0751418
109,1,1,121.5769395,25.0751418
109,1,1,121.5532778,25.00144332
109,1,1,121.5532778,25.00144332
109,1,1,121.5955979,25.07806139
109,1,1,121.5955979,25.07806139
109,1,1,121.5345002,25.01348977
109,1,1,121.5345002,25.01348977
109,1,1,121.6040834,25.07295396
109,1,1,121.6040834,25.07295396
109,1,1,121.5468944,25.04519591
109,1,1,121.5468944,25.04519591
109,1,1,121.5468944,25.04519591
109,1,1,121.5565914,25.0206478
109,1,1,121.5565914,25.0206478
109,1,1,121.5576711,25.0365074
109,1,1,121.5576711,25.0365074
109,1,1,121.5437421,25.04437571
109,1,1,121.5437421,25.04437571
109,1,1,121.5262784,25.10089309
109,1,1,121.5262784,25.10089309
109,1,1,121.5244028,25.05627288
109,1,1,121.5244028,25.05627288
109,1,1,121.6112223,25.07037097
109,1,1,121.6112223,25.07037097
109,1,1,121.516417,25.04861742
109,1,1,121.516417,25.04861742
109,1,1,121.516417,25.04861742
109,1,1,121.570094,25.043011
109,1,1,121.570094,25.043011
109,1,1,121.5091564,25.0249713
109,1,1,121.5091564,25.0249713
109,1,1,121.579158,25.07372529
109,1,1,121.579158,25.07372529
109,1,1,121.579158,25.07372529
109,1,1,121.579158,25.07372529
109,1,1,121.579158,25.07372529
109,1,1,121.5459724,24.98672333
109,1,1,121.5459724,24.98672333
109,1,1,121.5459724,24.98672333
109,1,1,121.5167146,25.02305567
109,1,1,121.5167146,25.02305567
109,1,1,121.5325769,25.06821683
109,1,1,121.5325769,25.06821683
109,1,1,121.5836106,25.07850705
109,1,1,121.5836106,25.07850705
109,1,1,121.5836106,25.07850705
109,1,1,121.5633803,25.04060094
109,1,1,121.5633803,25.04060094
109,1,1,121.5633803,25.04060094
109,1,1,121.5687893,24.98396305
109,1,1,121.5687893,24.98396305
109,1,1,121.5301716,25.01354507
109,1,1,121.5301716,25.01354507
109,1,2,121.5570042,25.04883195
109,1,2,121.5570042,25.04883195
109,1,2,121.5570042,25.04883195
109,1,2,121.508977,25.06342563
109,1,2,121.508977,25.06342563
109,1,2,121.5084451,25.06357598
109,1,2,121.5084451,25.06357598
109,1,2,121.5255199,25.05924951
109,1,2,121.5255199,25.05924951
109,1,2,121.5766061,25.05139836
109,1,2,121.5766061,25.05139836
109,1,2,121.5256352,25.0628272
109,1,2,121.5256352,25.0628272
109,1,2,121.5256352,25.0628272
109,1,2,121.5253743,25.02083707
109,1,2,121.5253743,25.02083707
109,1,2,121.5614983,25.03594088
109,1,2,121.5614983,25.03594088
109,1,2,121.5114221,25.041191
109,1,2,121.5114221,25.041191
109,1,2,121.5114221,25.041191
109,1,2,121.5379303,25.00721446
109,1,2,121.5379303,25.00721446
109,1,2,121.5529364,25.00026634
109,1,2,121.5529364,25.00026634
109,1,2,121.5115196,25.02427436
109,1,2,121.5115196,25.02427436
109,1,2,121.5115196,25.02427436
109,1,2,121.5405711,25.05748698
109,1,2,121.5405711,25.05748698
109,1,2,121.4971173,25.1296062
109,1,2,121.4971173,25.1296062
109,1,2,121.4971173,25.1296062
109,1,2,121.4971173,25.1296062
109,1,2,121.4971173,25.1296062
109,1,2,121.495474,25.03837088
109,1,2,121.495474,25.03837088
109,1,2,121.495474,25.03837088
109,1,2,121.5249842,25.07801752
109,1,2,121.5249842,25.07801752
109,1,2,121.5249842,25.07801752
109,1,2,121.4633734,25.11729955
109,1,2,121.4633734,25.11729955
109,1,2,121.4633734,25.11729955
109,1,2,121.5001429,25.04207765
109,1,2,121.5523771,24.98903563
109,1,2,121.5388474,25.00435433
109,1,2,121.5001429,25.04207765
109,1,2,121.5523771,24.98903563
109,1,2,121.5388474,25.00435433
109,1,2,121.5001429,25.04207765
109,1,2,121.5506429,25.01683443
109,1,2,121.5506429,25.01683443
109,1,2,121.519078,25.04329678
109,1,2,121.519078,25.04329678
109,1,2,121.5003777,25.04249951
109,1,2,121.5003777,25.04249951
109,1,2,121.5212947,25.11894056
109,1,2,121.559902,24.99658541
109,1,2,121.5212947,25.11894056
109,1,2,121.559902,24.99658541
109,1,2,121.5115455,25.10806488
109,1,2,121.5115455,25.10806488
109,1,2,121.5115455,25.10806488
109,1,2,121.5115455,25.10806488
109,1,2,121.5240362,25.0725414
109,1,2,121.5240362,25.0725414
109,1,2,121.5177544,25.10513575
109,1,2,121.5177544,25.10513575
109,1,2,121.5218871,25.07935753
109,1,2,121.5218871,25.07935753
109,1,2,121.5922794,25.0542072
109,1,2,121.5922794,25.0542072
109,1,2,121.5241945,25.0476987
109,1,2,121.5241945,25.0476987
109,1,2,121.5241945,25.0476987
109,1,2,121.5778457,25.05329609
109,1,2,121.5778457,25.05329609
109,1,2,121.527277,25.05605182
109,1,2,121.527277,25.05605182
109,1,2,121.5433179,25.02640604
109,1,2,121.5433179,25.02640604
109,1,2,121.5433179,25.02640604
109,1,2,121.5433179,25.02640604
109,1,2,121.4978292,25.13212613
109,1,2,121.4978292,25.13212613
109,1,2,121.5543453,25.05814818
109,1,2,121.5543453,25.05814818
